[2026-02-05 14:57:21 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:39 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:55 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:01:59 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:02:06 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:01 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:04:08 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:51 CLIP_DINOiser] (train.py 181): INFO Training finished. Running evaluation...
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      orange      | 23.06 | 26.42 |
|     broccoli     |  12.4 | 13.25 |
|      carrot      | 26.97 | 27.74 |
|     hot dog      | 33.96 | 39.66 |
|      pizza       | 44.13 | 52.65 |
|      donut       | 50.39 | 54.75 |
|       cake       | 47.91 |  69.9 |
|      chair       | 14.99 | 16.26 |
|      couch       | 46.66 | 57.98 |
|   potted plant   |  9.07 | 12.14 |
|       bed        | 48.56 | 61.41 |
|   dining table   | 10.81 | 11.82 |
|      toilet      | 29.82 |  76.3 |
|        tv        | 28.75 |  36.5 |
|      laptop      | 43.29 | 64.21 |
|      mouse       |  20.2 |  41.8 |
|      remote      | 14.73 |  67.5 |
|     keyboard     | 39.13 | 58.71 |
|    cell phone    | 32.46 | 57.48 |
|    microwave     | 23.23 | 30.01 |
|       oven       | 23.97 | 70.14 |
|     toaster      | 20.25 | 51.91 |
|       sink       | 30.24 | 53.93 |
|   refrigerator   | 49.51 |  61.8 |
|       book       | 28.04 |  32.8 |
|      clock       | 42.84 |  83.3 |
|       vase       | 29.53 | 54.72 |
|     scissors     |  51.0 | 61.94 |
|    teddy bear    | 62.62 | 75.41 |
|    hair drier    |  1.84 | 16.23 |
|    toothbrush    |  26.0 | 56.45 |
|      banner      |  2.1  |  75.1 |
|     blanket      |  6.23 | 19.41 |
|      branch      |  6.18 | 41.06 |
|      bridge      | 24.31 | 39.15 |
|  building-other  | 30.48 |  55.3 |
|       bush       | 11.97 | 32.71 |
|     cabinet      | 24.87 |  35.3 |
|       cage       |  5.58 |  6.66 |
|    cardboard     | 22.58 | 26.55 |
|      carpet      | 39.88 | 52.76 |
|  ceiling-other   | 27.97 | 42.44 |
|   ceiling-tile   |  7.3  | 23.05 |
|      cloth       |  0.61 |  2.03 |
|     clothes      |  4.02 | 27.63 |
|      clouds      | 32.33 | 36.66 |
|     counter      | 10.11 | 33.12 |
|     cupboard     |  4.17 | 19.77 |
|     curtain      |  32.4 |  39.3 |
|    desk-stuff    | 22.74 | 38.39 |
|       dirt       | 12.99 | 14.85 |
|    door-stuff    |  14.5 | 20.12 |
|      fence       | 26.59 | 49.21 |
|   floor-marble   |  5.55 |  9.34 |
|   floor-other    |  9.09 | 39.11 |
|   floor-stone    |  1.6  |  2.79 |
|    floor-tile    | 35.23 | 40.94 |
|    floor-wood    |  23.7 | 28.59 |
|      flower      | 31.71 | 42.83 |
|       fog        | 12.63 | 16.71 |
|    food-other    | 11.24 | 74.38 |
|      fruit       | 17.82 | 64.38 |
| furniture-other  |  5.67 |  9.17 |
|      grass       | 49.24 | 62.45 |
|      gravel      | 13.15 | 23.88 |
|   ground-other   |  2.71 | 34.16 |
|       hill       |  6.27 |  7.74 |
|      house       | 11.33 | 31.03 |
|      leaves      |  7.92 |  9.74 |
|      light       |  4.1  | 29.96 |
|       mat        |  0.67 |  3.65 |
|      metal       |  3.98 |  4.56 |
|   mirror-stuff   | 12.86 | 15.52 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.29 | 60.73 |
|       mud        |  0.09 |  0.27 |
|      napkin      |  9.56 | 38.83 |
|       net        | 10.27 | 26.89 |
|      paper       |  13.6 | 26.44 |
|     pavement     | 31.98 | 50.11 |
|      pillow      |  5.52 | 19.93 |
|   plant-other    |  5.11 |  7.39 |
|     plastic      |  3.63 |  3.83 |
|     platform     |  6.04 |  9.21 |
|   playingfield   |  0.18 |  0.18 |
|     railing      |  4.15 | 12.16 |
|     railroad     | 37.99 | 83.98 |
|      river       | 41.49 | 59.81 |
|       road       | 31.39 | 40.14 |
|       rock       | 31.12 | 44.22 |
|       roof       |  4.56 | 28.81 |
|       rug        | 19.95 |  25.5 |
|      salad       | 12.12 | 27.66 |
|       sand       | 42.18 | 52.31 |
|       sea        | 49.16 | 60.31 |
|      shelf       | 14.33 | 16.79 |
|    sky-other     | 47.41 | 57.17 |
|    skyscraper    | 22.33 |  39.2 |
|       snow       | 71.12 | 87.26 |
|   solid-other    |  0.12 |  0.6  |
|      stairs      | 10.26 | 17.13 |
|      stone       |  7.48 | 11.81 |
|      straw       | 15.92 | 20.39 |
| structural-other |  0.18 |  0.38 |
|      table       |  6.48 |  8.87 |
|       tent       |  6.05 | 12.56 |
|  textile-other   |  4.33 |  6.38 |
|      towel       |  9.76 | 42.46 |
|       tree       | 34.57 | 37.66 |
|    vegetable     | 14.87 | 45.17 |
|    wall-brick    | 29.38 |  40.8 |
|  wall-concrete   |  3.25 |  3.32 |
|    wall-other    |  6.29 | 11.69 |
|    wall-panel    |  1.97 |  2.57 |
|    wall-stone    | 24.39 | 35.57 |
|    wall-tile     | 39.18 | 58.88 |
|    wall-wood     | 11.98 | 12.97 |
|   water-other    | 16.41 | 54.17 |
|    waterdrops    |  0.06 |  0.77 |
|   window-blind   | 35.12 | 46.18 |
|   window-other   | 25.64 | 47.62 |
|       wood       |  7.58 | 23.78 |
+------------------+-------+-------+
[2026-02-06 16:30:42 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-06 16:30:42 CLIP_DINOiser] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.68 | 24.47 | 41.39 |
+-------+-------+-------+
[2026-02-06 16:30:42 CLIP_DINOiser] (train.py 112): INFO {'val/coco_stuff_miou': 24.47}
