[2026-04-14 02:28:13 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|     clothes      |  2.08 | 10.26 |
|      clouds      | 54.22 | 60.84 |
|     counter      | 12.25 | 34.23 |
|     cupboard     |  0.0  |  0.0  |
|     curtain      |  26.0 | 29.79 |
|    desk-stuff    | 19.96 | 27.15 |
|       dirt       |  6.7  |  7.83 |
|    door-stuff    |  5.54 |  5.91 |
|      fence       | 23.39 | 36.78 |
|   floor-marble   | 14.05 | 54.71 |
|   floor-other    |  5.73 | 39.01 |
|   floor-stone    | 10.58 | 11.61 |
|    floor-tile    | 24.16 | 26.12 |
|    floor-wood    | 37.87 | 42.95 |
|      flower      |  0.01 |  0.01 |
|       fog        |  0.49 |  0.81 |
|    food-other    |  6.76 | 59.08 |
|      fruit       | 11.27 | 67.33 |
| furniture-other  |  5.89 |  8.88 |
|      grass       | 52.54 | 62.07 |
|      gravel      |  0.57 |  0.58 |
|   ground-other   |  1.66 | 20.71 |
|       hill       |  0.45 |  0.68 |
|      house       |  13.6 | 42.33 |
|      leaves      |  0.0  |  0.0  |
|      light       |  2.58 | 13.79 |
|       mat        |  0.0  |  nan  |
|      metal       |  5.82 |  6.21 |
|   mirror-stuff   | 14.35 | 21.14 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 41.44 |  58.8 |
|       mud        |  0.0  |  0.0  |
|      napkin      |  0.0  |  0.0  |
|       net        |  3.3  | 13.99 |
|      paper       |  0.65 |  2.67 |
|     pavement     |  32.9 | 54.96 |
|      pillow      |  0.17 |  0.29 |
|   plant-other    | 11.11 |  21.4 |
|     plastic      |  1.32 |  1.35 |
|     platform     |  0.23 |  0.43 |
|   playingfield   |  1.59 |  1.61 |
|     railing      |  0.0  |  0.01 |
|     railroad     |  37.9 |  91.9 |
|      river       |  58.6 | 69.29 |
|       road       | 31.96 | 43.25 |
|       rock       | 38.93 | 54.65 |
|       roof       | 12.08 | 55.71 |
|       rug        |  1.3  |  1.78 |
|      salad       |  0.0  |  nan  |
|       sand       | 31.51 | 36.57 |
|       sea        | 41.75 | 55.55 |
|      shelf       | 33.91 | 36.62 |
|    sky-other     | 51.21 | 57.31 |
|    skyscraper    | 12.62 | 19.81 |
|       snow       | 58.21 | 74.18 |
|   solid-other    |  1.58 |  3.87 |
|      stairs      |  0.0  |  0.0  |
|      stone       | 38.31 | 52.02 |
|      straw       |  0.0  |  0.0  |
| structural-other |  0.0  |  0.0  |
|      table       | 15.42 | 19.69 |
|       tent       | 22.76 | 72.07 |
|  textile-other   |  2.2  |  2.72 |
|      towel       |  28.5 | 68.45 |
|       tree       | 24.63 | 27.66 |
|    vegetable     | 25.26 | 44.72 |
|    wall-brick    |  42.9 | 63.75 |
|  wall-concrete   |  2.78 |  2.8  |
|    wall-other    |  2.34 |  4.2  |
|    wall-panel    |  0.0  |  0.0  |
|    wall-stone    | 37.42 | 52.27 |
|    wall-tile     | 48.08 | 63.55 |
|    wall-wood     |  0.54 |  0.58 |
|   water-other    | 20.94 | 58.07 |
|    waterdrops    |  nan  |  nan  |
|   window-blind   | 21.24 | 21.83 |
|   window-other   |  24.9 | 54.54 |
|       wood       |  2.24 |  4.45 |
+------------------+-------+-------+
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 37.14 | 20.39 | 35.01 |
+-------+-------+-------+
