[2026-02-28 14:59:29 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='low'
[2026-02-28 15:03:18 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 10 images. Selectoin meta: {'seed': 0, 'feature_name': 'small_ratio', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 10, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 10, 'high': 10, 'mixed': 10, 'train': 10}}
[2026-02-28 15:03:34 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|    wall-other    |  6.24 | 11.68 |
|    wall-panel    |  2.16 |  2.82 |
|    wall-stone    | 23.97 |  36.0 |
|    wall-tile     | 39.77 | 58.89 |
|    wall-wood     | 12.12 | 13.16 |
|   water-other    | 16.48 | 55.87 |
|    waterdrops    |  0.07 |  0.89 |
|   window-blind   | 34.77 | 47.35 |
|   window-other   | 26.21 | 47.56 |
|       wood       |  7.71 | 24.65 |
+------------------+-------+-------+
[2026-02-28 17:52:07 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-28 17:52:07 CLIP_DINOiser] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 39.11 | 24.57 | 41.78 |
+-------+-------+-------+
[2026-02-28 17:52:08 CLIP_DINOiser] (feature_experiment_pipeline.py 349): INFO Results saved to small_ratio/high.json
[2026-02-28 17:52:38 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=1000, strategy='mixed'
[2026-02-28 17:56:26 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'small_ratio', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'mixed', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-28 17:58:37 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-28 18:03:32 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-28 18:03:32 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.74 | 13.37 |
|     bicycle      |  54.8 | 83.38 |
|       car        | 43.35 | 74.97 |
|    motorcycle    | 67.79 | 87.34 |
|     airplane     | 42.22 |  88.2 |
|       bus        | 62.75 | 82.89 |
|      train       | 54.24 | 68.47 |
|      truck       | 37.13 | 46.56 |
|       boat       | 32.94 | 80.04 |
|  traffic light   | 21.25 | 70.96 |
|   fire hydrant   | 54.99 | 80.75 |
|    stop sign     | 60.63 |  90.8 |
|  parking meter   | 27.45 | 36.14 |
|      bench       | 36.17 |  46.5 |
|       bird       | 56.28 | 86.87 |
|       cat        | 70.49 | 87.82 |
|       dog        | 61.28 | 81.01 |
|      horse       | 61.98 | 85.77 |
|      sheep       | 74.17 | 88.56 |
|       cow        | 65.58 | 81.72 |
|     elephant     | 81.15 | 92.02 |
|       bear       | 79.58 | 89.81 |
|      zebra       | 79.48 | 92.19 |
|     giraffe      | 48.44 | 87.98 |
|     backpack     |  8.14 |  58.0 |
|     umbrella     | 34.61 | 70.41 |
|     handbag      | 10.95 | 15.18 |
|       tie        |  1.03 | 49.98 |
|     suitcase     | 46.53 | 52.35 |
|     frisbee      | 14.36 | 54.39 |
|       skis       |  8.68 | 60.19 |
|    snowboard     | 14.89 | 64.39 |
|   sports ball    |  2.57 | 59.35 |
|       kite       | 31.34 | 51.08 |
|   baseball bat   |  5.09 | 10.46 |
|  baseball glove  | 20.51 | 48.81 |
|    skateboard    | 18.41 | 54.88 |
|    surfboard     |  25.2 | 74.49 |
|  tennis racket   |  7.03 | 49.65 |
|      bottle      | 24.63 | 53.94 |
|    wine glass    | 30.41 |  73.2 |
|       cup        | 17.59 | 25.07 |
|       fork       | 16.24 | 18.52 |
|      knife       |  5.86 |  7.92 |
|      spoon       | 17.77 | 33.53 |
|       bowl       |  13.2 | 17.21 |
|      banana      | 39.35 | 49.39 |
|      apple       | 11.73 | 13.05 |
|     sandwich     | 14.06 | 15.32 |
|      orange      | 23.91 | 27.49 |
|     broccoli     | 20.58 | 22.28 |
|      carrot      | 31.16 | 32.11 |
|     hot dog      | 34.71 | 40.69 |
|      pizza       | 44.04 | 52.43 |
|      donut       | 50.65 | 54.84 |
|       cake       | 47.81 | 68.95 |
|      chair       | 15.73 | 17.11 |
|      couch       | 47.02 |  58.5 |
|   potted plant   |  9.67 | 13.26 |
|       bed        | 48.76 | 60.93 |
|   dining table   |  9.97 | 10.87 |
|      toilet      | 31.17 | 74.84 |
|        tv        |  29.6 | 37.31 |
|      laptop      | 43.91 | 63.85 |
|      mouse       | 22.25 | 46.86 |
|      remote      | 14.24 | 66.72 |
|     keyboard     | 41.95 | 62.53 |
|    cell phone    | 30.97 | 56.08 |
|    microwave     | 24.41 | 32.15 |
|       oven       | 23.91 | 69.16 |
|     toaster      | 19.54 | 50.13 |
|       sink       | 31.07 | 54.62 |
|   refrigerator   | 49.54 | 61.68 |
|       book       | 27.56 | 32.65 |
|      clock       | 43.65 | 83.55 |
|       vase       | 29.71 |  52.4 |
|     scissors     | 50.64 | 60.13 |
|    teddy bear    | 62.32 | 73.23 |
|    hair drier    |  1.73 | 17.67 |
|    toothbrush    | 25.15 | 55.17 |
|      banner      |  2.14 | 75.11 |
|     blanket      |  6.15 | 19.51 |
|      branch      |  6.22 | 41.66 |
|      bridge      | 24.43 | 40.03 |
|  building-other  | 30.47 | 54.57 |
|       bush       | 11.96 | 33.99 |
|     cabinet      | 25.23 | 36.06 |
|       cage       |  5.45 |  6.57 |
|    cardboard     | 22.84 | 27.03 |
|      carpet      | 40.48 | 54.45 |
|  ceiling-other   | 27.39 | 42.62 |
|   ceiling-tile   |  7.07 | 21.57 |
|      cloth       |  0.54 |  1.89 |
|     clothes      |  4.11 | 28.14 |
|      clouds      | 32.34 | 36.75 |
|     counter      | 10.43 | 33.88 |
|     cupboard     |  4.33 | 20.98 |
|     curtain      | 32.85 | 39.85 |
|    desk-stuff    | 23.18 | 37.84 |
|       dirt       | 13.74 | 15.77 |
|    door-stuff    | 14.27 | 19.86 |
|      fence       | 26.58 | 49.93 |
|   floor-marble   |  5.91 | 10.19 |
|   floor-other    |  9.05 | 39.94 |
|   floor-stone    |  1.72 |  2.96 |
|    floor-tile    | 36.22 | 42.66 |
|    floor-wood    | 23.25 | 28.55 |
|      flower      | 31.31 | 43.51 |
|       fog        | 12.99 | 17.24 |
|    food-other    | 11.54 |  73.8 |
|      fruit       | 17.83 | 64.23 |
| furniture-other  |  5.63 |  8.87 |
|      grass       | 49.89 | 63.28 |
|      gravel      | 13.66 | 25.06 |
|   ground-other   |  2.76 | 33.05 |
|       hill       |  6.44 |  8.12 |
|      house       | 11.11 | 31.14 |
|      leaves      |  8.17 | 10.11 |
|      light       |  3.93 | 29.69 |
|       mat        |  0.57 |  3.19 |
|      metal       |  4.19 |  4.83 |
|   mirror-stuff   |  12.8 | 15.46 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.02 | 62.47 |
|       mud        |  0.08 |  0.26 |
|      napkin      |  9.71 | 39.77 |
|       net        | 10.09 | 26.92 |
|      paper       |  13.4 |  26.7 |
|     pavement     | 32.27 |  50.6 |
|      pillow      |  6.04 |  22.8 |
|   plant-other    |  5.05 |  7.27 |
|     plastic      |  4.11 |  4.37 |
|     platform     |  5.76 |  8.77 |
|   playingfield   |  0.17 |  0.17 |
|     railing      |  4.88 | 15.01 |
|     railroad     | 38.41 | 83.98 |
|      river       | 42.21 | 60.46 |
|       road       | 31.34 | 40.22 |
|       rock       | 30.97 | 44.18 |
|       roof       |  4.56 | 29.61 |
|       rug        | 18.35 |  23.6 |
|      salad       | 11.22 | 26.41 |
|       sand       |  44.3 | 55.12 |
|       sea        | 49.61 | 59.99 |
|      shelf       | 14.61 | 17.14 |
|    sky-other     | 47.72 | 57.62 |
|    skyscraper    | 22.29 | 39.72 |
|       snow       | 71.75 | 87.04 |
|   solid-other    |  0.1  |  0.51 |
|      stairs      |  11.3 | 18.85 |
|      stone       |  7.26 | 11.48 |
|      straw       | 15.63 | 20.38 |
| structural-other |  0.16 |  0.34 |
|      table       |  6.84 |  9.57 |
|       tent       |  6.04 |  12.7 |
|  textile-other   |  4.17 |  6.1  |
|      towel       |  9.72 | 43.38 |
|       tree       |  35.2 | 38.63 |
|    vegetable     |  14.7 | 43.45 |
|    wall-brick    | 29.45 | 41.25 |
|  wall-concrete   |  3.3  |  3.38 |
|    wall-other    |  6.4  | 11.99 |
|    wall-panel    |  2.12 |  2.78 |
|    wall-stone    | 24.49 | 36.16 |
|    wall-tile     | 40.11 | 60.74 |
|    wall-wood     | 12.01 | 13.06 |
