[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|   floor-stone    |  1.84 |  3.2  |
|    floor-tile    | 35.86 | 41.95 |
|    floor-wood    | 23.06 | 28.34 |
|      flower      | 31.35 | 43.58 |
|       fog        | 10.78 | 14.09 |
|    food-other    | 11.57 | 74.28 |
|      fruit       | 17.78 | 64.25 |
| furniture-other  |  5.62 |  9.08 |
|      grass       | 49.92 |  64.4 |
|      gravel      | 14.29 | 26.41 |
|   ground-other   |  2.76 | 32.69 |
|       hill       |  6.67 |  8.39 |
|      house       |  11.4 | 30.58 |
|      leaves      |  8.56 | 10.65 |
|      light       |  4.16 | 29.83 |
|       mat        |  0.71 |  3.87 |
|      metal       |  4.12 |  4.75 |
|   mirror-stuff   | 14.18 | 17.23 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 35.13 |  62.2 |
|       mud        |  0.18 |  0.56 |
|      napkin      |  9.31 | 39.13 |
|       net        | 10.07 | 27.06 |
|      paper       | 13.38 | 26.77 |
|     pavement     | 32.61 | 50.44 |
|      pillow      |  5.28 |  19.0 |
|   plant-other    |  4.86 |  6.97 |
|     plastic      |  3.81 |  4.04 |
|     platform     |  5.83 |  8.9  |
|   playingfield   |  0.15 |  0.15 |
|     railing      |  4.95 | 15.79 |
|     railroad     | 38.24 | 84.65 |
